id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
os-bb329377-e844-4278-9067-e752b22f2f49,bill,Maryland,HB 184,Criminal Law - Identity Fraud - Artificial Intelligence and Deepfake Representations,pending,2025-11-01,https://openstates.org/md/bills/2026/HB184/,,,
os-46e16a29-c9b9-430d-9490-8771ac3af31b,bill,Florida,HB 281,"Use of Artificial Intelligence in Psychological, Clinical, Counseling, and Therapy Services",failed,2025-10-28,https://openstates.org/fl/bills/2026/HB281/,,,
us-119-hres-836,bill,Congress,H.Res. 836,"Calling on the United States to champion a regional artificial intelligence strategy in the Americas to foster inclusive artificial intelligence systems that combat biases within marginalized groups and promote social justice, economic well-being, and democratic values.",pending,2025-10-28,https://www.congress.gov/bill/119th-congress/house-resolution/836,bias,,
os-596a4668-6a08-4df4-83ae-edcd18cf0340,bill,Pennsylvania,HB 1993,An Act providing for the use of artificial intelligence in mental health therapy and for enforcement.,pending,2025-10-24,https://openstates.org/pa/bills/2025-2026/HB1993/,,,
os-4d73551f-e382-4d5e-9539-6709262b0f9f,bill,New York,S 8546,Establishes a grid modernization surcharge,pending,2025-10-24,https://openstates.org/ny/bills/2025-2026/S8546/,power-bills,,
os-bcd26c80-7030-40ff-a5d1-e515b69a295c,bill,New York,S 8540,"Establishes the ""accountability of costs for data centers act""",pending,2025-10-22,https://openstates.org/ny/bills/2025-2026/S8540/,,,
os-0a0e33a7-80d0-44ea-a949-116ad5880c81,bill,New York,S 8536,Prohibits electric corporations and gas corporations from increasing charges due to the building or operation of a data center,pending,2025-10-20,https://openstates.org/ny/bills/2025-2026/S8536/,power-bills,,
os-3ed564db-7432-4705-ba5f-3c47dd7d84f2,bill,New York,A 9136,Requires new data centers to incorporate thermal energy networks,pending,2025-10-17,https://openstates.org/ny/bills/2025-2026/A9136/,,data-center-limits,New York Public Service Commission
us-119-hr-5784,bill,Congress,H.R. 5784,AI–WISE Act,pending,2025-10-17,https://www.congress.gov/bill/119th-congress/house-bill/5784,,,
us-119-hr-5764,bill,Congress,H.R. 5764,AI for Main Street Act,pending,2025-10-17,https://www.congress.gov/bill/119th-congress/house-bill/5764,,,
os-cd85d7cc-6b52-4318-9321-21952717b572,bill,New York,A 9185,Relates to falsely reporting an incident through the use of artificial intelligence,pending,2025-10-17,https://openstates.org/ny/bills/2025-2026/A9185/,deepfakes,,
os-95437496-7e0e-4670-b047-2b03d2588412,bill,Massachusetts,S 2630,An Act  promoting economic development with emerging artificial intelligence models and safety,pending,2025-10-16,https://openstates.org/ma/bills/194th/S2630/,,,
os-fbdef8de-1552-4fd5-bf91-08c188ee08ff,bill,Massachusetts,S 2631,An Act  to protect against election misinformation,pending,2025-10-16,https://openstates.org/ma/bills/194th/S2631/,deepfakes,,
os-69280413-42f0-48b0-8282-24d307f6b8e9,bill,Massachusetts,S 2632,An Act relative to the use of artificial intelligence and other software tools in healthcare decision-making,pending,2025-10-16,https://openstates.org/ma/bills/194th/S2632/,,,
os-553e9ae5-6acd-4e54-962f-edd08ad28824,bill,Ohio,HB 525,Regards use of artificial intelligence in therapy services,pending,2025-10-15,https://openstates.org/oh/bills/136/HB525/,,,
os-b9837b1c-6517-4c2a-9b08-54adf7d4bf45,bill,Ohio,HB 524,Impose penalties for AI models suggesting harming self or another,pending,2025-10-15,https://openstates.org/oh/bills/136/HB524/,,mandatory-reporting,
os-1f273731-8d48-4082-a5f4-49509ca35892,bill,Florida,SB 202,Mandatory Human Reviews of Insurance Claim Denials,failed,2025-10-15,https://openstates.org/fl/bills/2026/SB202/,bias,mandatory-reporting,
os-813621be-13cc-4235-afec-5dd4cdf06433,bill,Florida,SB 146,Use of Artificial Intelligence by State Agencies,failed,2025-10-09,https://openstates.org/fl/bills/2026/SB146/,,mandatory-reporting,Florida Digital Service
fr-2025-19495,order,Executive Office of the President,Executive Order 14355,Unlocking Cures for Pediatric Cancer With Artificial Intelligence,passed,2025-10-07,https://www.federalregister.gov/documents/2025/10/07/2025-19495/unlocking-cures-for-pediatric-cancer-with-artificial-intelligence,,,
os-825a53d6-05b6-42a5-ad1e-11c5afbcbced,bill,Pennsylvania,HB 1925,"An Act amending Titles 35 (Health and Safety), 40 (Insurance) and 67 (Public Welfare) of the Pennsylvania Consolidated Statutes, providing for artificial intelligence in facilities, for artificial intelligence use by insurers and for artificial intelligence use by MA or CHIP managed care plans; imposing duties on the Department of Health, the Insurance Department and the Department of Human Services; and imposing penalties.",pending,2025-10-06,https://openstates.org/pa/bills/2025-2026/HB1925/,,mandatory-reporting; new-agency-powers,Pennsylvania Department of Health; Pennsylvania Department of Human Services; Pennsylvania Insurance Department
os-6ffa2687-e112-4d80-9a1b-433312800aa9,resolution,Pennsylvania,HR 331,A Resolution recognizing the exclusive constitutional authority of the Pennsylvania Supreme Court to regulate the practice of law in this Commonwealth and urging the Court to adopt safeguards governing the use of artificial intelligence by attorneys and judges.,pending,2025-09-29,https://openstates.org/pa/bills/2025-2026/HR331/,,,
us-119-s-2938,bill,Congress,S. 2938,Artificial Intelligence Risk Evaluation Act of 2025,pending,2025-09-29,https://www.congress.gov/bill/119th-congress/senate-bill/2938,,,
us-119-hr-5584,bill,Congress,H.R. 5584,LIFT AI Act,pending,2025-09-26,https://www.congress.gov/bill/119th-congress/house-bill/5584,,,
os-282eebb1-68ae-4c3b-8997-9a18efd085de,bill,New York,A 9106,Regulates the use of artificial intelligence in the provision of therapy or psychotherapy services,pending,2025-09-26,https://openstates.org/ny/bills/2025-2026/A9106/,,,
os-5253611f-9a61-41be-b685-896ae5a28e2b,bill,Ohio,HB 469,Declare A.I. systems nonsentient; prohibit legal personhood,pending,2025-09-23,https://openstates.org/oh/bills/136/HB469/,,,
us-119-hr-5511,bill,Congress,H.R. 5511,Algorithmic Accountability Act of 2025,pending,2025-09-19,https://www.congress.gov/bill/119th-congress/house-bill/5511,,,
os-e7c6e285-9b80-4a69-9ddb-811f7c3c05a4,bill,Puerto Rico,PS 731,"Para crear la “Ley de Subastas Públicas con Inteligencia Artificial y Transparencia
Gubernamental de Puerto Rico”; a los fines de centralizar la totalidad de las
compras, adquisiciones y subastas públicas bajo la Administración de Servicios
Generales de Puerto Rico (ASG), disponer la obligatoriedad de uso de la
plataforma JEDI en todas las agencias, departamentos, corporaciones públicas y
demás instrumentalidades del Gobierno de Puerto Rico; establecer la
incorporación de sistemas de inteligencia artificial y modelos de lenguaje de gran
tamaño (LLM) en los procesos de adquisición; crear un Registro Público de
Algoritmos; fijar los deberes de la ASG, de la Oficina de Innovación y Servicios de
Tecnología (PRITS) y de las agencias; establecer sanciones por incumplimiento; y
derogar disposiciones legales en conflicto.",pending,2025-09-18,https://openstates.org/pr/bills/2025-2028/PS731/,,mandatory-reporting; new-agency-powers,Puerto Rico Administración de Servicios Generales (ASG); Puerto Rico Oficina de Innovación y Servicios de Tecnología (PRITS)
