id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
us-119-hr-10502,bill,Congress,H.R. 10502,"To direct the Director of National Intelligence to submit to Congress a report on the use of artificial intelligence systems to acquire, analyze, query, disseminate, or otherwise access information under section 702 of the Foreign Intelligence Surveillance Act of 1978.",pending,2026-09-17,https://www.congress.gov/bill/119th-congress/house-bill/10502,,mandatory-reporting,Director of National Intelligence
us-119-hr-10484,bill,Congress,H.R. 10484,Covered AI Prohibition Act,pending,2026-09-17,https://www.congress.gov/bill/119th-congress/house-bill/10484,,,
os-6a2a2275-e154-4907-a9c5-070ef4951148,bill,New York,A 11723,Relates to the use of artificial intelligence and attorney-client privilege and work product,pending,2026-09-16,https://openstates.org/ny/bills/2025-2026/A11723/,,,
us-119-hr-10465,bill,Congress,H.R. 10465,"To clarify the requirements for authorizing the use, occupancy, and development of public lands for hyperscale data centers, and for other purposes.",pending,2026-09-16,https://www.congress.gov/bill/119th-congress/house-bill/10465,,data-center-limits,
us-119-hr-10417,bill,Congress,H.R. 10417,"To require the Secretary of Veterans Affairs to disclose each instance in which the Secretary uses artificial intelligence to interact with a covered individual, and for other purposes.",pending,2026-09-16,https://www.congress.gov/bill/119th-congress/house-bill/10417,,mandatory-reporting,Secretary of Veterans Affairs
us-119-s-5417,bill,Congress,S. 5417,A bill to require entities to include human-controlled shutdown mechanisms in all artificial intelligence systems.,pending,2026-09-16,https://www.congress.gov/bill/119th-congress/senate-bill/5417,,,
us-119-hr-10370,bill,Congress,H.R. 10370,"To better coordinate Federal efforts to utilize advance technologies, such as artificial intelligence, to improve diagnoses, treatments, cures, and prevention strategies for pediatric cancer, and for other purposes.",pending,2026-09-14,https://www.congress.gov/bill/119th-congress/house-bill/10370,,,
us-119-hr-10362,bill,Congress,H.R. 10362,Stop Rogue AI Act,pending,2026-09-14,https://www.congress.gov/bill/119th-congress/house-bill/10362,,,
os-3dab5ee7-1ce8-4119-9e40-52938d6c08cd,bill,New Jersey,A 5496,Regulates use of artificial intelligence in certain mortgage lending tools to minimize discrimination in lending.,pending,2026-09-14,https://openstates.org/nj/bills/222/A5496/,bias,,
os-f51e9fb8-eb57-4cca-ab60-14418d976a7d,bill,New Jersey,A 5494,"Prohibits certain use of artificial intelligence in denying homeowner, automobile, and flood insurance claims.",pending,2026-09-14,https://openstates.org/nj/bills/222/A5494/,bias,,
os-27d49e34-c98a-4941-8018-5c5632de807b,bill,New Jersey,A 5482,"Establishes six month moratorium on approvals, construction, expansion, subsidies, and tax incentives for certain artificial intelligence data centers; creates Artificial Intelligence Data Center Impact Commission.",pending,2026-09-14,https://openstates.org/nj/bills/222/A5482/,,data-center-limits; new-agency-powers,
fr-2026-18612,rule,"Health and Human Services Department, Food and Drug Administration",Final rule,Medical Devices; Cardiovascular Devices; Classification of the Cardiovascular Machine Learning-Based Notification Software,passed,2026-09-11,https://www.federalregister.gov/documents/2026/09/11/2026-18612/medical-devices-cardiovascular-devices-classification-of-the-cardiovascular-machine-learning-based,,mandatory-reporting,Food and Drug Administration
os-bb677c8e-36be-4619-87df-617175c9cd82,bill,New York,S 10696,Relates to the crime of promoting an obscene sexual performance by a child,pending,2026-09-11,https://openstates.org/ny/bills/2025-2026/S10696/,deepfakes,,
os-05ad9272-0129-46cd-850a-e7176b9a3967,bill,New Jersey,A 5416,Establishes Artificial Intelligence Apprenticeship Program and artificial intelligence apprenticeship tax credit program.,pending,2026-09-10,https://openstates.org/nj/bills/222/A5416/,,,
os-6f16dc90-32f9-4c69-b998-111e0bea1e5b,bill,New York,S 10692,Relates to the disclosure of artificial intelligence use in floor statements and debate by members of the legislature,pending,2026-09-09,https://openstates.org/ny/bills/2025-2026/S10692/,,labeling-mandates,
os-66bb0b59-93b0-4aa8-bd16-aecb15aef97d,bill,Pennsylvania,HB 2760,An Act providing for the protection of water supplies by requiring commercial data centers to restore or replace a polluted or diminutive water supply; and imposing duties on the Department of Environmental Protection.,pending,2026-09-09,https://openstates.org/pa/bills/2025-2026/HB2760/,power-bills,data-center-limits,Pennsylvania Department of Environmental Protection
us-119-hr-10321,bill,Congress,H.R. 10321,Responsible Data Center Siting Act of 2026,pending,2026-09-08,https://www.congress.gov/bill/119th-congress/house-bill/10321,,,
us-119-hr-10322,bill,Congress,H.R. 10322,Data Center Fair Share Act,pending,2026-09-08,https://www.congress.gov/bill/119th-congress/house-bill/10322,,,
os-0b4aab03-1d49-45d6-9dc0-1e94f2026b54,bill,Ohio,HB 999,Prohibit property tax exemptions for data centers,pending,2026-09-02,https://openstates.org/oh/bills/136/HB999/,,,
os-f3417b32-c733-4c5d-b5d2-70825ac2f753,bill,Ohio,HB 1000,Regulate deceptive synthetic media with intent to affect election,pending,2026-09-02,https://openstates.org/oh/bills/136/HB1000/,deepfakes,,
os-fa3ff832-f8b2-4f79-a24f-c974c2c231d4,bill,New York,A 11669,"Enacts the ""Fostering Optimal Classroom Use of Screens (FOCUS) act"" to limit use of internet enabled devices and prioritize non-digital teaching methods",pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11669/,,mandatory-reporting,
os-dacc22a6-451c-4583-8959-b6b8af49d8e4,bill,New York,A 11693,Relates to humanoid robots and artificial intelligence avatars in instructional settings,pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11693/,,mandatory-reporting,New York boards of cooperative educational services; New York charter schools; New York school districts
os-6d137bdb-8f74-4192-a4cb-878d7212dffa,bill,New York,A 11684,Relates to the disclosure of artificial intelligence use in floor statements and debate by members of the legislature,pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11684/,,labeling-mandates,
us-119-hr-10189,bill,Congress,H.R. 10189,Defense AI Reliability and Reporting Act,pending,2026-08-31,https://www.congress.gov/bill/119th-congress/house-bill/10189,,,
us-119-hr-10180,bill,Congress,H.R. 10180,Self-Improving AI Monitoring Act,pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10180,,,
us-119-hr-10152,bill,Congress,H.R. 10152,Open-Source AI Leadership Act,pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10152,,,
us-119-hr-10169,bill,Congress,H.R. 10169,"To prohibit the provision of Federal financial benefit for the construction, expansion, or substantial rehabilitation of data centers on prime farmland and other certain farmland.",pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10169,,data-center-limits,
os-da337339-50d4-4808-ba39-93e1706bab0e,bill,Michigan,HB 6264,Businesses: other; clean and renewable energy requirements for data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6264/,,,
os-a2facad8-2648-40fe-9cec-ec8981056487,bill,Michigan,HB 6265,Businesses: other; water and electricity usage reporting requirements for data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6265/,,,
os-78e82a9f-6dc8-4bcd-adc6-00ae4bce36fe,bill,Michigan,HB 6251,Businesses: other; energy infrastructure and thermal management evaluation requirements for certain data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6251/,,,
us-119-hr-10146,bill,Congress,H.R. 10146,AI Advertising Disclosure Act,pending,2026-08-24,https://www.congress.gov/bill/119th-congress/house-bill/10146,,,
os-27cc800d-4294-402f-b257-02fb541a7643,bill,New York,S 10685,"Enacts the ""Fostering Optimal Classroom Use of Screens (FOCUS) act"" to limit use of internet enabled devices and prioritize non-digital teaching methods",pending,2026-08-21,https://openstates.org/ny/bills/2025-2026/S10685/,,mandatory-reporting,
us-119-hr-10119,bill,Congress,H.R. 10119,Protecting Local Control of Data Centers Act,pending,2026-08-20,https://www.congress.gov/bill/119th-congress/house-bill/10119,,,
os-6cf881b9-a7ae-4234-a6d6-ff47f879a80d,bill,Massachusetts,HD 6293,An Act establishing the Massachusetts Digital Commonwealth,pending,2026-08-13,https://openstates.org/ma/bills/194th/HD6293/,,,
us-119-s-5382,bill,Congress,S. 5382,China AI Power Report Act,pending,2026-08-07,https://www.congress.gov/bill/119th-congress/senate-bill/5382,,,
us-119-s-5345,bill,Congress,S. 5345,"A bill to provide for the delivery of artificial intelligence functional bills of materials, and for other purposes.",pending,2026-08-06,https://www.congress.gov/bill/119th-congress/senate-bill/5345,,,
us-119-hr-10044,bill,Congress,H.R. 10044,AI Tax and Work Protection Act,pending,2026-08-06,https://www.congress.gov/bill/119th-congress/house-bill/10044,,,
os-0775fdfb-362e-44a1-872a-2090f74a41ee,bill,New York,S 10675,Imposes liability for damages caused by a chatbot impersonating certain licensed professionals,pending,2026-08-05,https://openstates.org/ny/bills/2025-2026/S10675/,deepfakes,,
us-119-s-5225,bill,Congress,S. 5225,K–12 AI Literacy and Readiness Act of 2026,pending,2026-08-04,https://www.congress.gov/bill/119th-congress/senate-bill/5225,,,
us-119-hr-10042,bill,Congress,H.R. 10042,Understanding AI in the Classroom Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10042,,,
us-119-hr-10041,bill,Congress,H.R. 10041,Smart Data Center Policy Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10041,,,
us-119-hr-10025,bill,Congress,H.R. 10025,Preventing Abuse of Digital Replicas Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10025,,,
us-119-hres-1471,bill,Congress,H.Res. 1471,Expressing the sense of the House of Representatives that every American and community impacted by the construction or operation of an artificial intelligence data center should have the right to transparency and local autonomy.,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-resolution/1471,,,
os-db6da84f-e7c3-42a1-9904-d02fc83ed332,bill,New York,A 11662,Relates to human-led instruction and artificial intelligence in schools,pending,2026-07-31,https://openstates.org/ny/bills/2025-2026/A11662/,,,
us-119-hr-10005,bill,Congress,H.R. 10005,Data Center Resource Disclosure Act,pending,2026-07-30,https://www.congress.gov/bill/119th-congress/house-bill/10005,,,
os-912ce725-64e5-4a05-a698-349b9e1558fe,bill,New York,A 11626,"Enacts the ""options for search listing act""",pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11626/,,,
os-e266c4e2-7b74-4412-ac2a-96690d285b8b,bill,New York,A 11636,Relates to third party verification of compliance with transparency and safety requirements for developers of artificial intelligence models,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11636/,,mandatory-reporting,
os-86ce105d-ab3c-48e4-958d-283b735c2702,bill,New York,A 11635,Requires the disclosure of digitally altered images in an advertisement or other promotional material for the sale or lease of real property,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11635/,deepfakes,labeling-mandates,
os-9511b40a-3259-4f76-b6a1-45af58132860,bill,New York,S 10671,Relates to humanoid robots and artificial intelligence avatars in instructional settings,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/S10671/,,mandatory-reporting,
us-119-s-5171,bill,Congress,S. 5171,Children's Artificial Intelligence Toy Safety Act of 2026,pending,2026-07-29,https://www.congress.gov/bill/119th-congress/senate-bill/5171,,,
os-03d894a2-3216-4fe1-b3a9-c00e6e80fd45,bill,Ohio,HB 983,Enact the Data Center Accountability and Citizen Protection Act,pending,2026-07-28,https://openstates.org/oh/bills/136/HB983/,,,
us-119-hr-9965,bill,Congress,H.R. 9965,AI Threat Output and Monitoring Incident Containment Act,pending,2026-07-27,https://www.congress.gov/bill/119th-congress/house-bill/9965,,,
us-119-s-5117,bill,Congress,S. 5117,Senior Chatbot Protection Act of 2026,pending,2026-07-23,https://www.congress.gov/bill/119th-congress/senate-bill/5117,,,
us-119-hr-9939,bill,Congress,H.R. 9939,No AI Data Centers on Federal Lands Act,pending,2026-07-23,https://www.congress.gov/bill/119th-congress/house-bill/9939,,data-center-limits,
us-119-hr-9917,bill,Congress,H.R. 9917,AI Kill Switch Act,pending,2026-07-23,https://www.congress.gov/bill/119th-congress/house-bill/9917,,,
us-119-hr-9922,bill,Congress,H.R. 9922,AI Transparency in Elections Act of 2026,pending,2026-07-23,https://www.congress.gov/bill/119th-congress/house-bill/9922,,,
us-119-hr-9825,bill,Congress,H.R. 9825,Data Center Water and Energy Transparency Act of 2026,pending,2026-07-22,https://www.congress.gov/bill/119th-congress/house-bill/9825,,,
us-119-s-5061,bill,Congress,S. 5061,Secure A.I. Development Act of 2026,pending,2026-07-21,https://www.congress.gov/bill/119th-congress/senate-bill/5061,,,
us-119-s-5057,bill,Congress,S. 5057,Safeguarding Against Fabricated Exploitation Through Artificial Intelligence Act of 2026,pending,2026-07-21,https://www.congress.gov/bill/119th-congress/senate-bill/5057,,,
os-38e659b3-3e39-4a9a-a8cd-f9b26fe60ebf,bill,Pennsylvania,HB 2705,An Act providing for a report on artificial intelligence in the workforce; and imposing duties on the Department of Labor and Industry and Department of Community and Economic Development.,pending,2026-07-16,https://openstates.org/pa/bills/2025-2026/HB2705/,,mandatory-reporting,Pennsylvania Department of Community and Economic Development; Pennsylvania Department of Labor and Industry
us-119-hr-9706,bill,Congress,H.R. 9706,Facial Recognition to Protect Children Act,pending,2026-07-15,https://www.congress.gov/bill/119th-congress/house-bill/9706,,,
fr-2026-14132,rule,"Commerce Department, Industry and Security Bureau",Final rule,Enhanced Favorable Treatment for the United Arab Emirates Under the Export Administration Regulations,passed,2026-07-14,https://www.federalregister.gov/documents/2026/07/14/2026-14132/enhanced-favorable-treatment-for-the-united-arab-emirates-under-the-export-administration,,export-controls,
os-7eda2f35-8551-427e-9bf5-ce901430fc63,bill,Pennsylvania,SB 1384,"An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in tax credit and tax benefit administration, further providing for definitions; in computer data center equipment incentive program, providing for certification prohibition; providing for Governor's Responsible Infrastructure Development certification and standards; and imposing duties.",pending,2026-07-10,https://openstates.org/pa/bills/2025-2026/SB1384/,,data-center-limits,Governor of Pennsylvania
us-119-hr-9629,bill,Congress,H.R. 9629,Protecting Communities from Data Center Impacts Act of 2026,pending,2026-07-09,https://www.congress.gov/bill/119th-congress/house-bill/9629,,,
us-119-hr-9619,bill,Congress,H.R. 9619,People-First Chatbot Act,pending,2026-07-09,https://www.congress.gov/bill/119th-congress/house-bill/9619,,,
us-119-hr-9566,bill,Congress,H.R. 9566,"To establish a pilot program for use by U.S. Customs and Border Protection at land ports of entry along the Arizona border to assess the use of artificial intelligence through an anomaly detection algorithm, and for other purposes.",pending,2026-06-30,https://www.congress.gov/bill/119th-congress/house-bill/9566,,,
os-405a7e82-8ef3-49c2-8c8e-34879694e952,bill,Delaware,SB 353,AN ACT TO AMEND THE LAWS OF DELAWARE RELATING TO A MORATORIUM ON DATA CENTER DEVELOPMENT.,pending,2026-06-30,https://openstates.org/de/bills/153/SB353/,,data-center-limits,
os-db7cfea9-aa98-47d1-bfde-9792e7c7636a,bill,Pennsylvania,HB 2678,"An Act amending Title 63 (Professions and Occupations (State Licensed)) of the Pennsylvania Consolidated Statutes, in powers and duties, further providing for definitions and providing for artificial intelligence.",pending,2026-06-29,https://openstates.org/pa/bills/2025-2026/HB2678/,,,
us-119-hr-9506,bill,Congress,H.R. 9506,"To amend the National Artificial Intelligence Initiative Act of 2020 to require the Director of the Office of Science and Technology Policy to establish a prize competition program relating to artificial intelligence, and for other purposes.",pending,2026-06-29,https://www.congress.gov/bill/119th-congress/house-bill/9506,,,Office of Science and Technology Policy
us-119-hr-9501,bill,Congress,H.R. 9501,AI Tax Integrity Act of 2026,pending,2026-06-29,https://www.congress.gov/bill/119th-congress/house-bill/9501,,mandatory-reporting,Internal Revenue Service
us-119-hr-9477,bill,Congress,H.R. 9477,AI Incident Reporting Act,pending,2026-06-25,https://www.congress.gov/bill/119th-congress/house-bill/9477,,,
os-7e1bf542-0e72-40e9-b259-3f34c6f79dad,bill,Michigan,HB 6136,Businesses: other; Michigan zoning enabling act; make subject to the data center community benefit agreement act. Amends sec. 205 of 2006 PA 110 (MCL 125.3205).   TIE BAR WITH: HB 6137'26,pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6136/,,,
os-74266733-649d-4f68-85f2-6074bfaa762b,bill,Michigan,HB 6139,"Construction: permits; acoustic engineering report for data center; require to receive building permit. Amends 1972 PA 230 (MCL 125.1501 - 125.1531) by adding sec. 10a.   TIE BAR WITH: HB 6135'26,  HB 6140'26,  HB 6141'26,  HB 6137'26,  HB 6138'26,  HB 6142'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6139/,,data-center-limits,
os-44a1bdac-92b7-4832-b636-44d9de512829,bill,Michigan,HB 6141,"Public utilities: electric utilities; project labor agreements; require for certain data center contracts. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 10kk.   TIE BAR WITH: HB 6135'26,  HB 6140'26,  HB 6137'26,  HB 6138'26,  HB 6142'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6141/,,,
os-a8fa020f-1ade-49c4-a4cf-17066dafc326,bill,Michigan,HB 6137,"Businesses: other; community benefit agreements; require certain data centers to be subject to. Creates new act.   TIE BAR WITH: HB 6135'26,  HB 6136'26,  HB 6140'26,  HB 6141'26,  HB 6138'26,  HB 6142'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6137/,,,
os-a2dd93a7-67bc-408b-a730-214b60ce52ae,bill,Michigan,HB 6140,"Public employees and officers: other; nondisclosure agreements related to the construction of data centers; prohibit. Creates new act.   TIE BAR WITH: HB 6135'26,  HB 6141'26,  HB 6137'26,  HB 6138'26,  HB 6142'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6140/,,,
os-696d2503-578d-4e97-94bd-ade8ef548c79,bill,Michigan,HB 6142,"Businesses: other; requirements for data center decommissioning, dismantling, and remediation; provide for. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 10jj.   TIE BAR WITH: HB 6135'26,  HB 6140'26,  HB 6141'26,  HB 6137'26,  HB 6138'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6142/,,data-center-limits,
os-ce4c5e6f-2a24-44cc-85b8-3e8f2183e4f9,bill,Michigan,HB 6138,"Businesses: other; data center water usage requirements; provide for. Creates new act.   TIE BAR WITH: HB 6135'26,  HB 6140'26,  HB 6141'26,  HB 6137'26,  HB 6142'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6138/,,data-center-limits,
os-30b2bac8-49da-47a3-b196-a618e3793691,bill,Michigan,HB 6135,"Public utilities: rates; large load commercial rates for data centers; establish. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 10ii.   TIE BAR WITH: HB 6140'26,  HB 6141'26,  HB 6137'26,  HB 6138'26,  HB 6142'26,  HB 6139'26",pending,2026-06-25,https://openstates.org/mi/bills/2025-2026/HB6135/,,,
os-70221ba3-1564-4cfd-ba2c-77cce3018e15,bill,Pennsylvania,HB 2666,An Act providing for limitations on the use of user data in the creation of artificial intelligence simulations and for private right of action; and imposing penalties.,pending,2026-06-24,https://openstates.org/pa/bills/2025-2026/HB2666/,,,
os-b9f468a7-7d2a-4c66-90d9-7c1f2b22e5da,bill,Michigan,SB 1077,Labor: fair employment practices; use of electronic monitoring or automated decisions tools by an employer; prohibit except for certain purposes. Creates new act.,pending,2026-06-24,https://openstates.org/mi/bills/2025-2026/SB1077/,,,
os-794709cc-c8a5-4274-99d9-fd017f2d0b00,bill,Pennsylvania,HB 2669,An Act providing for employer disclosure when employee layoffs occur due to an employer's use of artificial intelligence or other technological change; and imposing civil penalties.,pending,2026-06-24,https://openstates.org/pa/bills/2025-2026/HB2669/,job-loss,mandatory-reporting,
us-119-hr-9427,bill,Congress,H.R. 9427,AI Workforce Impact Study Act of 2026,pending,2026-06-24,https://www.congress.gov/bill/119th-congress/house-bill/9427,,,
us-119-hr-9439,bill,Congress,H.R. 9439,Voluntary Consumer AI Disclosure Pilot Act,pending,2026-06-24,https://www.congress.gov/bill/119th-congress/house-bill/9439,,,
us-119-s-4915,bill,Congress,S. 4915,AI Labeling Act of 2026,pending,2026-06-24,https://www.congress.gov/bill/119th-congress/senate-bill/4915,,,
us-119-hr-9442,bill,Congress,H.R. 9442,Artificial Intelligence Data Center Moratorium Act,pending,2026-06-24,https://www.congress.gov/bill/119th-congress/house-bill/9442,,,
os-2b3fd4c6-cedd-4a89-bb37-9388072b5459,bill,New Jersey,A 5316,"Establishes five-year ""New Jersey Artificial Intelligence Workforce Transition Act.""",pending,2026-06-23,https://openstates.org/nj/bills/222/A5316/,,,
os-fa8ca35f-7231-476b-9a4b-ca0cc3a4400e,resolution,Georgia,HR 43,"Artificial intelligence deepfakes; growing danger to election integrity, public trust, and the people of Georgia; recognize",pending,2026-06-22,https://openstates.org/ga/bills/2026_ss/HR43/,deepfakes,,
os-3778a2d2-26ad-4405-acc4-1e40adc10605,bill,Michigan,SB 1048,Public utilities: electric utilities; project labor agreements and prevailing wage and fringe benefit rates; require for certain data center contracts. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 10ii.,pending,2026-06-18,https://openstates.org/mi/bills/2025-2026/SB1048/,,data-center-limits,
os-4d6e32fd-803c-4e01-aa58-7791ccad6e59,bill,New Jersey,A 5294,"""Responsible Data Center Development and Resource Protection Act""; establishes Statewide framework concerning siting, land use approval, energy sourcing, water use, and environmental impacts of large load data center development.",pending,2026-06-18,https://openstates.org/nj/bills/222/A5294/,power-bills,data-center-limits,
os-f39fad93-ee9b-40e1-8f2f-092c7939b90c,bill,Michigan,SB 1051,Businesses: other; Michigan zoning enabling act; make subject to the data center community benefit act. Amends sec. 205 of 2006 PA 110 (MCL 125.3205).  TIE BAR WITH: SB 1050'26,pending,2026-06-18,https://openstates.org/mi/bills/2025-2026/SB1051/,,,
os-07a1586a-f08e-4458-86af-a5a2090de805,bill,New Jersey,S 4474,Establishes safety requirements for artificial intelligence companion operators.,pending,2026-06-18,https://openstates.org/nj/bills/222/S4474/,,,
us-119-hr-9363,bill,Congress,H.R. 9363,AI Security and Innovation Act,pending,2026-06-18,https://www.congress.gov/bill/119th-congress/house-bill/9363,,,
us-119-hr-9334,bill,Congress,H.R. 9334,Workforce for AI Trust Act,pending,2026-06-18,https://www.congress.gov/bill/119th-congress/house-bill/9334,,,National Institute of Standards and Technology; National Science Foundation
us-119-hr-9333,bill,Congress,H.R. 9333,AI Flaw Reporting and Security Enhancement Act,pending,2026-06-18,https://www.congress.gov/bill/119th-congress/house-bill/9333,,mandatory-reporting,National Institute of Standards and Technology
us-119-hr-9352,bill,Congress,H.R. 9352,AI-Related Job Impacts Clarity Act,pending,2026-06-18,https://www.congress.gov/bill/119th-congress/house-bill/9352,,,
fr-2026-12205,rule,General Services Administration,Proposed rule,General Services Acquisition Regulation; Acquisition of Information and Communication Technology; Notice of Listening Sessions and Request for Comments,pending,2026-06-17,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,,,
fr-2026-12166,rule,"Health and Human Services Department, Food and Drug Administration",Final rule,Medical Devices; Radiology Devices; Classification of the Radiological Machine Learning-Based Quantitative Imaging Software With Predetermined Change Control Plan,passed,2026-06-17,https://www.federalregister.gov/documents/2026/06/17/2026-12166/medical-devices-radiology-devices-classification-of-the-radiological-machine-learning-based,,mandatory-reporting,Food and Drug Administration
os-3f63330c-8455-4321-9b76-f26dc1cb7328,bill,Pennsylvania,HB 2650,"An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in tax credit and tax benefit administration, further providing for definitions; in computer data center equipment incentive program, providing for certification prohibition; providing for Governor's Responsible Infrastructure Development certification and standards; and imposing duties.",pending,2026-06-16,https://openstates.org/pa/bills/2025-2026/HB2650/,,data-center-limits,Governor of Pennsylvania
os-c035d280-59fa-46bd-9123-dba60b4791ca,bill,New Jersey,A 5272,Establishes safety requirements for artificial intelligence companion operators.,pending,2026-06-15,https://openstates.org/nj/bills/222/A5272/,,,
os-3f10db58-89b9-4bbf-8879-d9f84d4f3f3b,bill,New Jersey,A 5275,Requires certain artificial intelligence developers to make certain disclosures to Attorney General.,pending,2026-06-15,https://openstates.org/nj/bills/222/A5275/,,mandatory-reporting,New Jersey Attorney General
os-32a0672a-9b56-41c0-8839-0a87102f948c,bill,New Jersey,S 4458,"Establishes five-year ""New Jersey Artificial Intelligence Workforce Transition Act.""",pending,2026-06-15,https://openstates.org/nj/bills/222/S4458/,,,
os-ef3844dc-dfec-4d42-bdf9-5e28b1350e19,bill,Pennsylvania,HB 2637,An Act providing for a temporary prohibition on artificial intelligence chatbots in children's toys; and imposing penalties.,pending,2026-06-15,https://openstates.org/pa/bills/2025-2026/HB2637/,kids-chatbots,,
us-119-hr-9323,bill,Congress,H.R. 9323,Department of Advanced Technology and Artificial Intelligence Act,pending,2026-06-15,https://www.congress.gov/bill/119th-congress/house-bill/9323,,,Department of Advanced Technology and Artificial Intelligence
os-3b01ee94-4fc1-417d-8522-6bc3a10d72d9,bill,New Jersey,S 4469,Requires boards of education to adopt policy on use of artificial intelligence; requires DOE to establish model policy.,pending,2026-06-15,https://openstates.org/nj/bills/222/S4469/,,,New Jersey Department of Education
os-6cf4f8e4-7953-4da4-a321-65dc3005eaf2,bill,Arizona,HB 4040,public schools; universities; AI policies,pending,2026-06-13,https://openstates.org/az/bills/57th-2nd-regular/HB4040/,,,
os-98113926-6397-4014-bc9a-1fe573578a94,bill,New Jersey,S 4446,Requires certain artificial intelligence developers to make certain disclosures to Attorney General.,pending,2026-06-11,https://openstates.org/nj/bills/222/S4446/,,mandatory-reporting,New Jersey Attorney General
os-336f316d-ad4a-4184-8ae7-b3425d786631,bill,Delaware,HB 404,AN ACT TO AMEND TITLE 14 OF THE DELAWARE CODE RELATING TO THE ARTIFICIAL INTELLIGENCE AND EXTENDED REALITY IN SCHOOLS PILOT PROGRAM.,pending,2026-06-11,https://openstates.org/de/bills/153/HB404/,,mandatory-reporting,Delaware Department of Education
us-119-s-4774,bill,Congress,S. 4774,Fraudulent Artificial Intelligence Regulations (FAIR) Elections Act of 2026,pending,2026-06-11,https://www.congress.gov/bill/119th-congress/senate-bill/4774,,,
us-119-hr-9285,bill,Congress,H.R. 9285,Heat Emergency Assessment and Tracking using AI Act,pending,2026-06-11,https://www.congress.gov/bill/119th-congress/house-bill/9285,,,
us-119-s-4727,bill,Congress,S. 4727,Artificial Intelligence Environmental Impacts Act of 2026,pending,2026-06-09,https://www.congress.gov/bill/119th-congress/senate-bill/4727,,,
us-119-hr-9183,bill,Congress,H.R. 9183,Artificial Intelligence Environmental Impacts Act of 2026,pending,2026-06-08,https://www.congress.gov/bill/119th-congress/house-bill/9183,,,
os-8643bffe-14ed-49e8-88a0-76de868df01d,bill,New Jersey,A 5224,Requires data center developers to disclose certain information to public and elected officials before preliminary site plan consideration under MLUL.,pending,2026-06-08,https://openstates.org/nj/bills/222/A5224/,,mandatory-reporting,
os-f3b21010-df44-46b9-83c5-d04c5f78142c,bill,New York,A 11599,Prohibits anticompetitive and deceptive algorithmic pricing practices,pending,2026-06-05,https://openstates.org/ny/bills/2025-2026/A11599/,,new-agency-powers,
fr-2026-11415,order,Executive Office of the President,Executive Order 14409,Promoting Advanced Artificial Intelligence Innovation and Security,passed,2026-06-05,https://www.federalregister.gov/documents/2026/06/05/2026-11415/promoting-advanced-artificial-intelligence-innovation-and-security,,,
os-9e3146aa-fd3f-4807-bdc4-0798ad53121f,bill,Pennsylvania,SB 1345,"An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in zoning, providing for optional temporary moratorium on acceptance or consideration of new applications for high impact data centers.",pending,2026-06-04,https://openstates.org/pa/bills/2025-2026/SB1345/,,data-center-limits,
