rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
129,Sony Interactive Entertainment,Lobbying client,1140000,bias; kids-chatbots
130,Firstenergy,Lobbying client,1120000,ai-cyberattacks; power-bills
131,American Apparel & Footwear Association,Lobbying client,1081265,ai-cyberattacks; china-race; job-loss; kids-chatbots
132,Iron Mountain Incorporated,Lobbying client,1010000,ai-cyberattacks; power-bills
133,Puget Sound Energy,Lobbying client,990000,ai-cyberattacks; power-bills
134,American Association of Nurse Anesthetists,Lobbying client,965000,bias; job-loss
135,Baxter Healthcare,Lobbying client,940000,bioweapons
136,Workday,Lobbying client,920000,ai-cyberattacks; job-loss
137,Accenture Federal Services,Lobbying client,820000,ai-cyberattacks
138,Blue Cross Blue Shield of Michigan,Lobbying client,818677,ai-cyberattacks
139,FDD Action,Lobbying client,810000,ai-cyberattacks; china-race; job-loss; power-bills
140,Wec Energy Group,Lobbying client,780000,power-bills
141,Fiserv (fka First Data Corporation),Lobbying client,770000,ai-cyberattacks
142,Dte Energy,Lobbying client,760000,power-bills
143,United Assn of Journeymen & Apprentices of the Plumbing & Pipefitting Industry,Lobbying client,740000,job-loss; power-bills
144,CMS Energy,Lobbying client,730000,ai-cyberattacks; power-bills
145,Cornell University,Lobbying client,720000,china-race; job-loss
146,Clean Energy Buyers Association (formerly Renewable Energy Buyers Alliance),Lobbying client,710000,power-bills
147,Harvard University--president and Fellows of Harvard College,Lobbying client,660000,china-race; job-loss
148,Highmark,Lobbying client,650000,kids-chatbots
149,College of American Pathologists,Lobbying client,640433,ai-cyberattacks; bioweapons; job-loss
150,Protective Life,Lobbying client,640000,ai-cyberattacks
151,Leadership Conference on Civil and Human Rights,Lobbying client,630000,bias
152,Trellix (formerly Musaruba US Llc),Lobbying client,620000,ai-cyberattacks
153,Nebius Group N.v.,Lobbying client,600000,power-bills
154,University of Notre Dame,Lobbying client,590000,job-loss
155,National Committee to Preserve Social Security and Medicare,Lobbying client,590000,job-loss; loss-of-control
156,Insured Retirement Institute,Lobbying client,590000,job-loss
157,Poplicus Incorporated D/b/a Govini,Lobbying client,560000,china-race
158,The Michael J. Fox Foundation for Parkinson's Research,Lobbying client,550000,bias; china-race; job-loss; loss-of-control
159,Premier,Lobbying client,550000,ai-cyberattacks; bioweapons; job-loss
160,Centerpoint Energy,Lobbying client,530000,ai-cyberattacks; power-bills
161,"Teco Holdings Inc., Formerly Known As Energy",Lobbying client,509357,power-bills
162,The AI Policy Network,Lobbying client,501412,china-race; loss-of-control
163,The University of Tennessee,Lobbying client,500000,bioweapons; job-loss
164,California Life Sciences,Lobbying client,490000,job-loss
165,The Aes,Lobbying client,490000,power-bills
166,Competitive Carriers Association,Lobbying client,470000,ai-cyberattacks; job-loss; kids-chatbots
167,Johns Hopkins University,Lobbying client,470000,china-race; job-loss; loss-of-control
168,Nisource,Lobbying client,450000,power-bills
169,Privacy for America,Lobbying client,420000,kids-chatbots
170,Infineon Technologies Americas,Lobbying client,370000,power-bills
171,PPL,Lobbying client,360000,ai-cyberattacks; power-bills
172,Boys & Girls Clubs of America,Lobbying client,360000,job-loss; kids-chatbots
173,Burns & Mcdonnell Engineering Company,Lobbying client,350000,power-bills
174,Tripadvisor,Lobbying client,350000,kids-chatbots
175,Foundation for Advancing Alcohol Responsibility (fka the Century Council),Lobbying client,339334,job-loss; loss-of-control
176,Paralyzed Veterans of America,Lobbying client,307530,bias; job-loss; kids-chatbots
177,Equinix,Lobbying client,300000,power-bills
178,Blue Cross and Blue Shield of Florida,Lobbying client,300000,ai-cyberattacks; job-loss
179,National Fraternal Order of Police,Lobbying client,300000,deepfakes; kids-chatbots
180,American Urological Association,Lobbying client,280000,job-loss
181,Infosys Limited,Lobbying client,270000,job-loss
182,Edgeconnex,Lobbying client,270000,power-bills
183,Washington State University,Lobbying client,245994,ai-cyberattacks; job-loss
184,Sutter Health,Lobbying client,240000,job-loss
185,Advamed Imaging,Lobbying client,240000,ai-cyberattacks
186,Seagate Technology,Lobbying client,240000,china-race
187,Grand Canyon University,Lobbying client,240000,job-loss
188,TechNet,Trade group,240000,bias; kids-chatbots; loss-of-control
189,American Pipeline Contractors Association,Lobbying client,240000,power-bills
190,Gulf South Business Roundtable,Lobbying client,240000,power-bills
191,Pindrop Security,Lobbying client,240000,deepfakes
192,Coinbase,Lobbying client,240000,ai-cyberattacks
193,Roblox,Lobbying client,240000,kids-chatbots
194,Hitachi,Lobbying client,240000,ai-cyberattacks; job-loss
195,Mitsubishi Electric US,Lobbying client,240000,power-bills
196,Tools for Humanity,Lobbying client,240000,ai-cyberattacks
197,Ivanti,Lobbying client,230000,ai-cyberattacks
198,Riot Platforms,Lobbying client,230000,ai-cyberattacks; power-bills
199,Altana Technologies,Lobbying client,215000,china-race
200,American International Group,Lobbying client,210000,ai-cyberattacks
201,Thomson Reuters,Lobbying client,200000,ai-cyberattacks
202,Giffords,Lobbying client,200000,job-loss; kids-chatbots
203,Bitdeer Technologies Group,Lobbying client,200000,power-bills
204,Waymo,Lobbying client,190000,china-race
205,Siemens Healthineers,Lobbying client,180000,job-loss
206,Software & Information Industry Association (siia),Lobbying client,180000,bias; kids-chatbots; loss-of-control
207,Elasticsearch,Lobbying client,180000,ai-cyberattacks
208,Aerovironment,Lobbying client,180000,ai-cyberattacks
209,Constellation,Lobbying client,180000,power-bills
210,"Yahoo Inc, and Var. Subs/affiliates (fka College Parent, L.p. Dba ""yahoo"")",Lobbying client,180000,kids-chatbots
211,National Venture Capital Association,Lobbying client,180000,ai-cyberattacks
212,Reddit,Lobbying client,180000,kids-chatbots
213,International Longshore and Warehouse Union,Lobbying client,180000,job-loss
214,Id.me,Lobbying client,180000,ai-cyberattacks
215,Isaca,Lobbying client,175000,ai-cyberattacks
216,Data Center Coalition,Trade group,170000,power-bills
217,Kla,Lobbying client,170000,china-race
218,Noda AI,Lobbying client,160000,china-race
219,Vantage Data Centers Management Company,Lobbying client,150000,china-race; power-bills
220,Strategic Education Inc (fka Capella Education Company),Lobbying client,150000,job-loss
221,Advocate Health,Lobbying client,150000,ai-cyberattacks; job-loss
222,Calbright College,Lobbying client,150000,job-loss
223,Retail Industry Leaders Association (rila),Lobbying client,150000,ai-cyberattacks
224,Foundation for Advancing Alcohol Responsibility (responsibility.org),Lobbying client,150000,job-loss; loss-of-control
225,NRG Energy,Lobbying client,150000,power-bills
226,Power & Communication Contractors Association,Lobbying client,150000,power-bills
227,California State University,Lobbying client,150000,ai-cyberattacks; china-race; job-loss; kids-chatbots
228,Ecolab Inc. on Behalf of Nalco Company,Lobbying client,150000,power-bills
229,Cisco Systems,Lobbying client,150000,ai-cyberattacks
230,Paypal,Lobbying client,150000,ai-cyberattacks
231,Advance Publications,Lobbying client,150000,kids-chatbots
232,Tsmc Arizona,Lobbying client,150000,china-race; power-bills
233,"Lumen Technologies, Inc. (formerly Centurylink, Inc.)",Lobbying client,150000,ai-cyberattacks; power-bills
234,Mig Cig Lpe 01 JV,Lobbying client,140000,power-bills
235,Mig Lancaster Holdings,Lobbying client,140000,power-bills
236,Magicschool AI,Lobbying client,130000,kids-chatbots
237,Fermiforward Discovery Group,Lobbying client,130000,job-loss
238,Comptel Dba Incompas,Lobbying client,130000,china-race
239,Lawyers' Committee for Civil Rights Under Law,Lobbying client,130000,bias; deepfakes; job-loss; kids-chatbots
240,Internet Works,Lobbying client,130000,kids-chatbots
241,Iowa State University,Lobbying client,127300,ai-cyberattacks; job-loss
242,Big Cities Health Coalition,Lobbying client,120000,job-loss; kids-chatbots
243,Bria Artificial Intelligence,Lobbying client,120000,deepfakes; kids-chatbots
244,"TNC (us) Holdings, Inc. (formerly Nielsen)",Lobbying client,120000,ai-cyberattacks; kids-chatbots
245,Major County Sheriffs of America (formerly Major County Sheriffs' Association),Lobbying client,120000,kids-chatbots; loss-of-control
246,Booz Allen Hamilton,Lobbying client,120000,ai-cyberattacks
247,Massachusetts Mutual Life Insurance Company (massmutual Financial Group),Lobbying client,120000,ai-cyberattacks
248,The Internet Infrastructure Coalition (i2coalition),Lobbying client,120000,ai-cyberattacks; deepfakes; kids-chatbots
249,Institute of Internal Auditors,Lobbying client,120000,ai-cyberattacks
250,Lytx,Lobbying client,120000,ai-cyberattacks
251,Small Business & Entrepreneurship Council (sbe Council),Lobbying client,110000,bias; china-race; job-loss; kids-chatbots; power-bills
252,Independent Electrical Contractors,Lobbying client,110000,power-bills
253,Zebra Technologies,Lobbying client,100000,ai-cyberattacks
254,Vertiv Group,Lobbying client,100000,power-bills
255,Palisade Research,Lobbying client,100000,loss-of-control
256,Directors Guild of America,Lobbying client,90000,deepfakes
257,Rune Technologies,Lobbying client,90000,china-race
258,California State Senate,Lobbying client,90000,kids-chatbots
259,Common Cause,Lobbying client,90000,china-race; job-loss
260,Bcbsm,Lobbying client,86000,ai-cyberattacks; job-loss
261,International Trademark Association,Lobbying client,80000,deepfakes
262,Comcast,Lobbying client,80000,ai-cyberattacks
263,New York University Langone Medical Center,Lobbying client,80000,job-loss
264,Independent Film & Television Alliance,Lobbying client,80000,deepfakes
265,University of Maryland,Lobbying client,79000,ai-cyberattacks; china-race; job-loss; loss-of-control
266,Siia,Lobbying client,75000,deepfakes
267,American Staffing Association,Lobbying client,70000,job-loss
268,National Small Business Association,Lobbying client,61000,ai-cyberattacks; job-loss; kids-chatbots
269,American Health Information Management Assn,Lobbying client,60000,job-loss
270,Icivics,Lobbying client,60000,job-loss
271,Iron Mountain Information Management,Lobbying client,60000,power-bills
272,United States Telecom Association,Lobbying client,60000,ai-cyberattacks
273,Insights Association (fka: Marketing Research Association),Lobbying client,50000,china-race
274,Boon Logic,Lobbying client,50000,ai-cyberattacks
275,Oregon Institute of Technology,Lobbying client,50000,job-loss
276,Texas A&M University System,Lobbying client,50000,china-race
277,National Alliance on Mental Illness,Lobbying client,40000,job-loss; kids-chatbots
278,Academy of Television Art & Sciences,Lobbying client,30000,deepfakes
279,Eastern Michigan University,Lobbying client,30000,job-loss
280,Blue Cross and Blue Shield of Kansas,Lobbying client,30000,ai-cyberattacks; job-loss
281,Major League Baseball Players Association,Lobbying client,30000,deepfakes
282,National Basketball Players Association,Lobbying client,30000,deepfakes
283,National Football League Players Association,Lobbying client,30000,deepfakes
284,National Hockey League Players Association,Lobbying client,30000,deepfakes
285,Major League Soccer Players Association,Lobbying client,30000,deepfakes
286,Travel Goods Association,Lobbying client,23187,china-race; job-loss
287,Children and Screens: Institute of Digital Media & Child Development,Lobbying client,22500,kids-chatbots
288,American Hospital Association,Trade group,11040000,ai-cyberattacks; job-loss; kids-chatbots; loss-of-control
289,Aarp,Lobbying client,9130000,deepfakes; job-loss
290,National Association of Manufacturers,Lobbying client,4170000,job-loss
291,Independent Community Bankers of America,Lobbying client,3451850,ai-cyberattacks; china-race; kids-chatbots
292,SK Americas,Lobbying client,3150000,china-race
293,The Northwestern Mutual Life Insurance Company,Lobbying client,2390000,ai-cyberattacks
294,Real Estate Roundtable,Lobbying client,2013145,power-bills
295,American Clinical Laboratory Assn,Lobbying client,1550000,job-loss; kids-chatbots
296,National Apartment Association,Lobbying client,1440000,bias; bioweapons; job-loss
297,Exelon Business Services,Lobbying client,990000,power-bills
298,International Brotherhood of Teamsters,Lobbying client,921098,job-loss
299,Semi,Lobbying client,920000,ai-cyberattacks; china-race; job-loss
300,Kroger,Lobbying client,890000,bias; china-race; kids-chatbots
301,Communications Workers of America,Lobbying client,861000,bias; job-loss
302,American Fed of Government Employees Afl-cio,Lobbying client,800000,job-loss
303,Hartford Insurance Group (fka Hartford Financial Services Group),Lobbying client,710000,ai-cyberattacks
304,Society for Human Resource Management,Lobbying client,630000,job-loss
305,Medical Group Management Assn,Lobbying client,600000,ai-cyberattacks; job-loss; loss-of-control
306,Building and Construction Trades Dept Afl-cio,Lobbying client,540000,job-loss; kids-chatbots; power-bills
